"Date","Category","Net worth","Assets","Real estate","Consumer durables","Corporate equities and mutual fund shares","Pension entitlements","Private businesses","Other assets","Liabilities","Home mortgages","Consumer credit","Other liabilities"
"2002:Q2","Top1",26,22.9,13.1,15.5,41.3,6.3,50.4,31.7,5.1,5.2,0.9,31.2
"2002:Q2","Next9",35.5,32.7,27.5,19.3,36.8,43.3,28.3,32.6,17.1,19.1,8.2,34.1
"2002:Q2","Next40",35.7,37.3,46.7,42.7,20.5,47,20.2,30.7,46,49.5,39,25.8
"2002:Q2","Bottom50",2.8,7.2,12.7,22.5,1.4,3.4,1.2,4.9,31.8,26.2,51.9,8.9
"2002:Q3","Top1",25.4,22.2,13.1,14.9,40.2,6.2,50.7,31.7,5.3,5.2,1,36.1
"2002:Q3","Next9",35.4,32.4,27.4,19.9,37,43.7,27.5,32.2,16.6,18.7,8.2,31.8
"2002:Q3","Next40",36.4,37.9,46.5,42.9,21.4,47,20.7,31.3,46.3,49.8,38.9,24.1
"2002:Q3","Bottom50",2.8,7.4,13,22.3,1.4,3.1,1.1,4.8,31.8,26.3,51.8,8.1
"2002:Q4","Top1",25.5,22.3,13.2,14.8,41,5.8,50.8,31.1,5.3,5.2,1.1,38.1
"2002:Q4","Next9",35.4,32.4,27.2,20.2,36.8,44,27.2,31.7,16.4,18.5,8.3,31.5
"2002:Q4","Next40",36.4,38,46.6,42.8,20.9,47,20.9,32.4,46.5,50.1,38.9,22.9
"2002:Q4","Bottom50",2.7,7.3,13,22.2,1.4,3.1,1.1,4.8,31.8,26.2,51.7,7.5
"2003:Q1","Top1",25.4,22.2,13.5,14.9,40.9,6,50.1,30.9,5.4,5.2,1.3,38.5
"2003:Q1","Next9",35.6,32.5,27.3,20.1,36.7,44,28.3,32.3,16.4,18.2,8.3,32.2
"2003:Q1","Next40",36.4,38.1,46.6,42.9,21,46.9,20.3,32.1,46.7,50.4,38.7,21.8
"2003:Q1","Bottom50",2.6,7.2,12.6,22.1,1.3,3.1,1.2,4.7,31.5,26.2,51.7,7.4
"2003:Q2","Top1",26.2,22.8,13.7,15,42.6,6.1,50.6,30.9,5.4,5.2,1.4,29.5
"2003:Q2","Next9",35.6,32.6,27.2,20.2,36.4,43.9,27.6,32.8,16.8,18.1,8.3,38.8
"2003:Q2","Next40",35.8,37.6,46.8,42.7,19.8,46.7,20.6,31.6,46.6,50.5,38.7,22.7
"2003:Q2","Bottom50",2.4,7,12.2,22.1,1.2,3.2,1.2,4.6,31.2,26.1,51.6,9
"2003:Q3","Top1",26.5,23.1,13.8,14.7,43.4,6.1,51.2,30.7,5.4,5.3,1.4,32.7
"2003:Q3","Next9",35.5,32.4,27,20.6,36.2,44,26.6,32.8,16.8,18.3,8.4,37.4
"2003:Q3","Next40",35.7,37.5,46.9,42.7,19.2,46.7,21,31.9,46.9,50.6,38.8,21.6
"2003:Q3","Bottom50",2.3,7,12.2,22,1.2,3.3,1.1,4.6,30.9,25.8,51.4,8.2
"2003:Q4","Top1",26.8,23.4,13.6,14.7,44.6,6.1,51.8,30.5,5.7,5.3,1.5,41.7
"2003:Q4","Next9",35.4,32.4,27.2,20.9,35.9,44.1,25.7,32.3,16.3,18,8.4,31.3
"2003:Q4","Next40",35.3,37.2,46.4,42.5,18.4,46.5,21.4,32.6,47,50.8,38.8,19.5
"2003:Q4","Bottom50",2.5,7.1,12.8,22,1.1,3.4,1.1,4.6,30.9,25.9,51.4,7.5
